"airportID","name","city","country","IATA","latitude","longitude","altitude","timezone","DST","typeAirport","Source","tzFormat"
"    1","Goroka Airport","Goroka","Papua New Guinea","GKA"," -6.0816898"," 145.391998"," 5282"," 10.00","U","airport","OurAirports","Pacific/Port_Moresby"
"    2","Madang Airport","Madang","Papua New Guinea","MAG"," -5.2070799"," 145.789001","   20"," 10.00","U","airport","OurAirports","Pacific/Port_Moresby"
"    3","Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea","HGU"," -5.8267899"," 144.296005"," 5388"," 10.00","U","airport","OurAirports","Pacific/Port_Moresby"
"    4","Nadzab Airport","Nadzab","Papua New Guinea","LAE"," -6.5698030"," 146.725977","  239"," 10.00","U","airport","OurAirports","Pacific/Port_Moresby"
"    5","Port Moresby Jacksons International Airport","Port Moresby","Papua New Guinea","POM"," -9.4433804"," 147.220001","  146"," 10.00","U","airport","OurAirports","Pacific/Port_Moresby"
"    6","Wewak International Airport","Wewak","Papua New Guinea","WWK"," -3.5838301"," 143.669006","   19"," 10.00","U","airport","OurAirports","Pacific/Port_Moresby"
"    7","Narsarsuaq Airport","Narssarssuaq","Greenland","UAK"," 61.1604996"," -45.425999","  112"," -3.00","E","airport","OurAirports","America/Godthab"
"    8","Godthaab / Nuuk Airport","Godthaab","Greenland","GOH"," 64.1909027"," -51.678101","  283"," -3.00","E","airport","OurAirports","America/Godthab"
"    9","Kangerlussuaq Airport","Sondrestrom","Greenland","SFJ"," 67.0122219"," -50.711603","  165"," -3.00","E","airport","OurAirports","America/Godthab"
"   10","Thule Air Base","Thule","Greenland","THU"," 76.5311966"," -68.703201","  251"," -4.00","E","airport","OurAirports","America/Thule"
"   11","Akureyri Airport","Akureyri","Iceland","AEY"," 65.6600037"," -18.072701","    6","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   12","Egilsstaðir Airport","Egilsstadir","Iceland","EGS"," 65.2833023"," -14.401400","   76","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   13","Hornafjörður Airport","Hofn","Iceland","HFN"," 64.2956010"," -15.227200","   24","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   14","Húsavík Airport","Husavik","Iceland","HZK"," 65.9523010"," -17.426001","   48","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   15","Ísafjörður Airport","Isafjordur","Iceland","IFJ"," 66.0580978"," -23.135300","    8","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   16","Keflavik International Airport","Keflavik","Iceland","KEF"," 63.9850006"," -22.605600","  171","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   17","Patreksfjörður Airport","Patreksfjordur","Iceland","PFJ"," 65.5558010"," -23.965000","   11","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   18","Reykjavik Airport","Reykjavik","Iceland","RKV"," 64.1299973"," -21.940599","   48","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   19","Siglufjörður Airport","Siglufjordur","Iceland","SIJ"," 66.1333010"," -18.916700","   10","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   20","Vestmannaeyjar Airport","Vestmannaeyjar","Iceland","VEY"," 63.4243011"," -20.278900","  326","  0.00","N","airport","OurAirports","Atlantic/Reykjavik"
"   21","Sault Ste Marie Airport","Sault Sainte Marie","Canada","YAM"," 46.4850006"," -84.509399","  630"," -5.00","A","airport","OurAirports","America/Toronto"
"   22","Winnipeg / St. Andrews Airport","Winnipeg","Canada","YAV"," 50.0564003"," -97.032501","  760"," -6.00","A","airport","OurAirports","America/Winnipeg"
"   23","Halifax / CFB Shearwater Heliport","Halifax","Canada","YAW"," 44.6397018"," -63.499401","  144"," -4.00","A","airport","OurAirports","America/Halifax"
"   24","St. Anthony Airport","St. Anthony","Canada","YAY"," 51.3918991"," -56.083099","  108"," -3.50","A","airport","OurAirports","America/St_Johns"
"   25","Tofino / Long Beach Airport","Tofino","Canada","YAZ"," 49.0798330","-125.775583","   80"," -8.00","A","airport","OurAirports","America/Vancouver"
